634,"Subject: christmas tree farm pictures
",ham
635,"Subject: vastar resources , inc .
gary , production from the high island larger block a - 1 # 2 commenced on
saturday at 2 : 00 p . m . at about 6 , 500 gross . carlos expects between 9 , 500 and
10 , 000 gross for tomorrow . vastar owns 68 % of the gross production .
george x 3 - 6992
- - - - - - - - - - - - - - - - - - - - - - forwarded by george weissman / hou / ect on 12 / 13 / 99 10 : 16
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
12 / 10 / 99 10 : 38 am
to : carlos j rodriguez / hou / ect @ ect
cc : george weissman / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : vastar resources , inc .
carlos ,
please call linda and get everything set up .
i ' m going to estimate 4 , 500 coming up tomorrow , with a 2 , 000 increase each
following day based on my conversations with bill fischer at bmar .
d .
- - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 12 / 10 / 99 10 : 34
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : george weissman 12 / 10 / 99 10 : 00 am
to : daren j farmer / hou / ect @ ect
cc : gary bryan / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : vastar resources , inc .
darren ,
the attached appears to be a nomination from vastar resources , inc . for the
high island larger block a - 1 # 2 ( previously , erroneously referred to as the
# 1 well ) . vastar now expects the well to commence production sometime
tomorrow . i told linda harris that we ' d get her a telephone number in gas
control so she can provide notification of the turn - on tomorrow . linda ' s
numbers , for the record , are 281 . 584 . 3359 voice and 713 . 312 . 1689 fax .
would you please see that someone contacts linda and advises her how to
submit future nominations via e - mail , fax or voice ? thanks .
george x 3 - 6992
- - - - - - - - - - - - - - - - - - - - - - forwarded by george weissman / hou / ect on 12 / 10 / 99 09 : 44
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" linda harris "" on 12 / 10 / 99 09 : 38 : 43 am
to : george weissman / hou / ect @ ect
cc :
subject : hi a - 1 # 2
effective 12 - 11 - 99
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| mscf / d | min ftp | time |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 4 , 500 | 9 , 925 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 6 , 000 | 9 , 908 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 8 , 000 | 9 , 878 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 10 , 000 | 9 , 840 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 12 , 000 | 9 , 793 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 14 , 000 | 9 , 738 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 16 , 000 | 9 , 674 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 18 , 000 | 9 , 602 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 20 , 000 | 9 , 521 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 22 , 000 | 9 , 431 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 24 , 000 | 9 , 332 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 26 , 000 | 9 , 224 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 28 , 000 | 9 , 108 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 30 , 000 | 8 , 982 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 32 , 000 | 8 , 847 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 34 , 000 | 8 , 703 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |
| | | |
| 36 , 000 | 8 , 549 | 24 hours |
| | | |
| - - - - - - - - + - - - - - - - - - - + - - - - - - - - - - - |",ham
636,"Subject: calpine daily gas nomination
- calpine daily gas nomination 1 . doc",ham
637,"Subject: re : issue
fyi - see note below - already done .
stella
- - - - - - - - - - - - - - - - - - - - - - forwarded by stella l morris / hou / ect on 12 / 14 / 99 10 : 18
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack on 12 / 14 / 99 10 : 06 am
to : stella l morris / hou / ect @ ect
cc : howard b camp / hou / ect @ ect
subject : re : issue
stella ,
this has already been taken care of . you did this for me yesterday .
thanks .
howard b camp
12 / 14 / 99 09 : 10 am
to : stella l morris / hou / ect @ ect
cc : sherlyn schumack / hou / ect @ ect , howard b camp / hou / ect @ ect , stacey
neuweiler / hou / ect @ ect , daren j farmer / hou / ect @ ect
subject : issue
stella ,
can you work with stacey or daren to resolve
hc
- - - - - - - - - - - - - - - - - - - - - - forwarded by howard b camp / hou / ect on 12 / 14 / 99 09 : 08
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack 12 / 13 / 99 01 : 14 pm
to : howard b camp / hou / ect @ ect
cc :
subject : issue
i have to create accounting arrangement for purchase from unocal energy at
meter 986782 . deal not tracked for 5 / 99 . volume on deal 114427 expired 4 / 99 .",ham
638,"Subject: meter 7268 nov allocation
fyi .
- - - - - - - - - - - - - - - - - - - - - - forwarded by lauri a allen / hou / ect on 12 / 14 / 99 12 : 17
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
kimberly vaughn
12 / 10 / 99 02 : 54 pm
to : lauri a allen / hou / ect @ ect
cc : mary m smith / hou / ect @ ect
subject : meter 7268 nov allocation
lauri . . i have put this on strangas gas until i can get a contract from
daren .
- - - - - - - - - - - - - - - - - - - - - - forwarded by kimberly vaughn / hou / ect on 12 / 10 / 99 01 : 52
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
lauri a allen
12 / 09 / 99 01 : 20 pm
to : kimberly vaughn / hou / ect @ ect , anita luong / hou / ect @ ect
cc : howard b camp / hou / ect @ ect , mary m smith / hou / ect @ ect
subject : meter 7268 nov allocation
kim / anita -
a volume of 7247 mm shows to have been allocated to the reliant 201 contract
for november . there was no nomination for reliant at this point in november
and , therefore , there should be no volume allocated to their contract .
please make sure these volumes are moved off the reliant contract prior to
november close .
thanks .",ham
639,"Subject: mcmullen gas for 11 / 99
jackie ,
since the inlet to 3 river plant is shut in on 10 / 19 / 99 ( the last day of
flow ) :
at what meter is the mcmullen gas being diverted to ?
at what meter is hpl buying the residue gas ? ( this is the gas from teco ,
vastar , vintage , tejones , and swift )
i still see active deals at meter 3405 in path manager for teco , vastar ,
vintage , tejones , and swift
i also see gas scheduled in pops at meter 3404 and 3405 .
please advice . we need to resolve this as soon as possible so settlement
can send out payments .
thanks",ham
640,"Subject: meter 1517 - jan 1999
george ,
i need the following done :
jan 13
zero out 012 - 27049 - 02 - 001 receipt package id 2666
allocate flow of 149 to 012 - 64610 - 02 - 055 deliv package id 392
jan 26
zero out 012 - 27049 - 02 - 001 receipt package id 3011
zero out 012 - 64610 - 02 - 055 deliv package id 392
these were buybacks that were incorrectly nominated to transport contracts
( ect 201 receipt )
let me know when this is done
hc",ham
641,"Subject: duns number changes
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary l payne / hou / ect on 12 / 14 / 99 02 : 35 pm
- - - - - - - - - - - - - - - - - - - - - - - - - - -
from : antoine v pierre 12 / 14 / 99 02 : 34 pm
to : tommy j yanowski / hou / ect @ ect , kathryn bussell / hou / ect @ ect , gary l
payne / hou / ect @ ect , diane e niestrath / hou / ect @ ect , romeo d ' souza / hou / ect @ ect ,
michael eiben / hou / ect @ ect , clem cernosek / hou / ect @ ect , scotty
gilbert / hou / ect @ ect , dave nommensen / hou / ect @ ect , david rohan / hou / ect @ ect ,
kevin heal / cal / ect @ ect , richard pinion / hou / ect @ ect
cc : mary g gosnell / hou / ect @ ect , jason moore / hou / ect @ ect , samuel
schott / hou / ect @ ect , bernice rodriguez / hou / ect @ ect
subject : duns number changes
i will be making these changes at 11 : 00 am on wednesday december 15 .
if you do not agree or have a problem with the dnb number change please
notify me , otherwise i will make the change as scheduled .
dunns number change :
counterparty cp id number
from to
cinergy resources inc . 62163 869279893 928976257
energy dynamics management , inc . 69545 825854664 088889774
south jersey resources group llc 52109 789118270 036474336
transalta energy marketing ( us ) inc . 62413 252050406 255326837
philadelphia gas works 33282 148415904 146907159
thanks ,
rennie
3 - 7578",ham
642,"Subject: king ranch
there are two fields of gas that i am having difficulty with in the unify
system .
1 . cage ranch - since there is no processing agreement that accomodates this
gas on king ranch , it is my understanding hpl is selling the liquids and
king ranch is re - delivering to stratton . it is also my understanding that
there is a . 05 cent fee
to deliver this gas . we need a method to accomodate the volume flow on hpl
at meter 415 and 9643 . this gas
will not be reflected on trans . usage ticket # 123395 and # 95394 since it is
not being nominated from a processing agreement . we either , need to input
a point nom ( on hpl or krgp ) at these meters to match the nom at meter 9610 ,
or a deal for purchase and sale ( if king ranch is taking title to the gas )
needs to be input into sitara at these meters with the appropriate rate . i
have currently input a point nom on krgp to accomodate this flow , so we can
divert some of this gas to the current interstate sales that are being made .
2 . forest oil - there is a processing agreement that will accomodate flow
from the meter ( 6396 ) into king ranch . it is my
understanding that this agreement was originally setup until texaco had
their own processing agreement . i need confirmation that the gas from this
meter should be nominated on contract # ( 96006681 ) and that this agreement
should have been reassigned to hplc . ( it is currently still under hplr ) .
if this gas is not nominated on the above transport agreement , then once
again we need to accomodate the flow volume on the hpl pipe with either a
point nom or a sitara deal at meters 415 and 9643 .",ham
643,"Subject: re : entex transistion
thanks so much for the memo . i would like to reiterate my support on two key
issues :
1 ) . thu - best of luck on this new assignment . howard has worked hard and
done a great job ! please don ' t be shy on asking questions . entex is
critical to the texas business , and it is critical to our team that we are
timely and accurate .
2 ) . rita : thanks for setting up the account team . communication is
critical to our success , and i encourage you all to keep each other informed
at all times . the p & l impact to our business can be significant .
additionally , this is high profile , so we want to assure top quality .
thanks to all of you for all of your efforts . let me know if there is
anything i can do to help provide any additional support .
rita wynne
12 / 14 / 99 02 : 38 : 45 pm
to : janet h wallis / hou / ect @ ect , ami chokshi / corp / enron @ enron , howard b
camp / hou / ect @ ect , thu nguyen / hou / ect @ ect , kyle r lilly / hou / ect @ ect , stacey
neuweiler / hou / ect @ ect , george grant / hou / ect @ ect , julie meyers / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , kathryn cordes / hou / ect @ ect , rita
wynne / hou / ect , lisa csikos / hou / ect @ ect , brenda f herod / hou / ect @ ect , pamela
chambers / corp / enron @ enron
subject : entex transistion
the purpose of the email is to recap the kickoff meeting held on yesterday
with members from commercial and volume managment concernig the entex account :
effective january 2000 , thu nguyen ( x 37159 ) in the volume managment group ,
will take over the responsibility of allocating the entex contracts . howard
and thu began some training this month and will continue to transition the
account over the next few months . entex will be thu ' s primary account
especially during these first few months as she learns the allocations
process and the contracts .
howard will continue with his lead responsibilites within the group and be
available for questions or as a backup , if necessary ( thanks howard for all
your hard work on the account this year ! ) .
in the initial phases of this transistion , i would like to organize an entex
"" account "" team . the team ( members from front office to back office ) would
meet at some point in the month to discuss any issues relating to the
scheduling , allocations , settlements , contracts , deals , etc . this hopefully
will give each of you a chance to not only identify and resolve issues before
the finalization process , but to learn from each other relative to your
respective areas and allow the newcomers to get up to speed on the account as
well . i would encourage everyone to attend these meetings initially as i
believe this is a critical part to the success of the entex account .
i will have my assistant to coordinate the initial meeting for early 1 / 2000 .
if anyone has any questions or concerns , please feel free to call me or stop
by . thanks in advance for everyone ' s cooperation . . . . . . . . . . .
julie - please add thu to the confirmations distributions list",ham
644,"Subject: entex transistion
the purpose of the email is to recap the kickoff meeting held on yesterday
with members from commercial and volume managment concernig the entex account :
effective january 2000 , thu nguyen ( x 37159 ) in the volume managment group ,
will take over the responsibility of allocating the entex contracts . howard
and thu began some training this month and will continue to transition the
account over the next few months . entex will be thu ' s primary account
especially during these first few months as she learns the allocations
process and the contracts .
howard will continue with his lead responsibilites within the group and be
available for questions or as a backup , if necessary ( thanks howard for all
your hard work on the account this year ! ) .
in the initial phases of this transistion , i would like to organize an entex
"" account "" team . the team ( members from front office to back office ) would
meet at some point in the month to discuss any issues relating to the
scheduling , allocations , settlements , contracts , deals , etc . this hopefully
will give each of you a chance to not only identify and resolve issues before
the finalization process , but to learn from each other relative to your
respective areas and allow the newcomers to get up to speed on the account as
well . i would encourage everyone to attend these meetings initially as i
believe this is a critical part to the success of the entex account .
i will have my assistant to coordinate the initial meeting for early 1 / 2000 .
if anyone has any questions or concerns , please feel free to call me or stop
by . thanks in advance for everyone ' s cooperation . . . . . . . . . . .
julie - please add thu to the confirmations distributions list",ham
